Id:,Name:,#studies:,Comments,KrakowID*:,,,
,,,,[KrakowID],,,
1,Subject 0001,1,, 67809,,,
2,Subject 0002,1,, 51902,,,
3,Subject 0003,1,, 42733,,,
4,Subject 0004,1,, 72597,,,
5,Subject 0005,1,, 33473,,,
6,Subject 0006,1,, 24295,,,
7,Subject 0007,1,, 98754,,,
8,Subject 0008,1,, 27942,,,
9,Subject 0009,1,, 85311,,,
10,Subject 0010,1,, 35150,,,
11,Subject 0011,1,, 52421,,,
12,Subject 0012,1,, 38430,,,
13,Subject 0013,1,, 26839,,,
14,Subject 0014,1,, 31271,,,
15,Subject 0015,1,, 80621,,,
16,Subject 0016,1,, 86095,,,
17,Subject 0017,1,, 98735,,,
18,Subject 0018,1,, 53211,,,
19,Subject 0019,1,, 30228,,,
20,Subject 0020,1,, 58474,,,
21,Subject 0021,1,, 85651,,,
22,Subject 0022,1,, 67431,,,
23,Subject 0023,1,, 90983,,,
24,Subject 0024,1,, 67891,,,
25,Subject 0025,1,, 60652,,,
26,Subject 0026,1,, 72607,,,
27,Subject 0027,1,, 93266,,,
28,Subject 0028,1,, 28483,,,
29,Subject 0029,1,, 35929,,,
30,Subject 0030,1,, 95908,,,
31,Subject 0031,1,, 91112,,,
32,Subject 0032,1,, 45698,,,
33,Subject 0033,1,, 30982,,,
34,Subject 0034,1,, 32382,,,
35,Subject 0035,1,, 76838,,,
36,Subject 0036,1,, 29970,,,
37,Subject 0037,1,, 82986,,,
38,Subject 0038,1,, 26545,,,
39,Subject 0039,1,, 73039,,,
40,Subject 0040,1,, 89277,,,
41,Subject 0041,1,, 66244,,,
42,Subject 0042,1,, 29533,,,
43,Subject 0043,1,, 69543,,,
44,Subject 0044,1,, 87929,,,
45,Subject 0045,1,, 78449,,,
46,Subject 0046,1,, 87345,,,
47,Subject 0047,1,, 32745,,,
48,Subject 0048,1,, 50754,,,
49,Subject 0049,1,, 83804,,,
50,Subject 0050,1,, 45764,,,
51,Subject 0051,1,, 70639,,,
52,Subject 0052,1,, 79093,,,
53,Subject 0053,1,, 36242,,,
54,Subject 0054,1,, 72932,,,
55,Subject 0055,1,, 96269,,,
56,Subject 0056,1,, 75360,,,
57,Subject 0057,1,, 16026,,,
58,Subject 0058,1,, 72974,,,
59,Subject 0059,1,, 32887,,,
60,Subject 0060,1,, 26048,,,
61,Subject 0061,1,, 51927,,,
62,Subject 0062,1,, 34605,,,
63,Subject 0063,1,, 13711,,,
64,Subject 0064,1,, 50410,,,
65,Subject 0065,1,, 38681,,,
66,Subject 0066,1,, 79623,,,
67,Subject 0067,1,, 97515,,,
68,Subject 0068,1,, 84970,,,
69,Subject 0069,1,, 71785,,,
70,Subject 0070,1,, 51596,,,
71,Subject 0071,1,, 44567,,,
72,Subject 0072,1,, 17274,,,
73,Subject 0073,1,, 68536,,,
74,Subject 0074,1,, 85250,,,
75,Subject 0075,1,, 82551,,,
76,Subject 0076,1,, 12731,,,
77,Subject 0077,1,, 88763,,,
78,Subject 0078,1,, 29749,,,
79,Subject 0079,1,, 52332,,,
80,Subject 0080,1,, 87579,,,
81,Subject 0081,1,, 73826,,,
82,Subject 0082,1,, 24318,,,
83,Subject 0083,1,, 71479,,,
84,Subject 0084,1,, 28954,,,
85,Subject 0085,1,, 38163,,,
86,Subject 0086,1,, 14351,,,
87,Subject 0087,1,, 59411,,,
88,Subject 0088,1,, 74479,,,
89,Subject 0089,1,, 27890,,,
90,Subject 0090,1,, 13774,,,
91,Subject 0091,1,, 59612,,,
92,Subject 0092,1,, 83818,,,
93,Subject 0093,1,, 47540,,,
94,Subject 0094,1,, 39332,,,
95,Subject 0095,1,, 85861,,,
96,Subject 0096,1,, 39393,,,
97,Subject 0097,1,, 98182,,,
98,Subject 0098,1,, 92770,,,
99,Subject 0099,1,, 31173,,,
100,Subject 0100,1,, 13159,,,
101,Subject 0101,1,, 64729,,,
102,Subject 0102,1,, 20909,,,
103,Subject 0103,1,, 25302,,,
104,Subject 0104,1,, 63270,,,
105,Subject 0105,1,, 96042,,,
106,Subject 0106,1,, 90240,,,
107,Subject 0107,1,, 61311,,,
108,Subject 0108,1,, 32281,,,
109,Subject 0109,1,, 68100,,,
110,Subject 0110,1,, 45997,,,
